ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.07,3.36,3.57,4.79,4.21,4.14,2.86,F1
SVM,5.29,2.93,3.07,4.79,3.71,3.93,4.29,F1
RF,5.21,3.5,2.57,4.07,3.71,4.0,4.93,F1
SGD,4.93,3.43,2.29,3.79,4.14,4.29,5.14,F1
ABC,2.0,3.64,4.5,4.0,5.07,3.5,5.29,F1
KNN,3.0,4.14,3.57,3.07,4.86,3.64,5.71,F1
DTREE,3.5,3.93,3.21,2.29,5.29,3.93,5.86,F1
MLP,5.86,2.5,2.93,2.71,3.71,4.29,6.0,F1
avarage,4.36,3.43,3.21,3.69,4.34,3.96,5.01,F1
std,1.35,0.52,0.69,0.92,0.65,0.28,1.03,F1
