alphas,area_GEO,volume_GEO,area_volume_ratio_GEO,edge_ratio_GEO,radius_ratio_GEO,aspect_ratio_GEO,max_solid_angle_GEO,min_solid_angle_GEO,solid_angle_GEO,area_IBA,volume_IBA,area_volume_ratio_IBA,edge_ratio_IBA,radius_ratio_IBA,aspect_ratio_IBA,max_solid_angle_IBA,min_solid_angle_IBA,solid_angle_IBA,area_AUC,volume_AUC,area_volume_ratio_AUC,edge_ratio_AUC,radius_ratio_AUC,aspect_ratio_AUC,max_solid_angle_AUC,min_solid_angle_AUC,solid_angle_AUC
1.0,4.34,4.53,3.96,3.89,4.5,3.93,3.72,3.66,3.66,4.34,4.61,4.07,3.97,4.54,4.01,3.8,3.76,3.76,4.49,4.69,4.18,4.03,4.69,4.1,3.87,3.8,3.85
1.5,4.28,4.5,3.94,3.75,4.37,3.9,3.54,3.53,3.56,4.29,4.55,3.98,3.82,4.42,3.93,3.61,3.57,3.63,4.44,4.66,4.07,3.85,4.55,4.03,3.7,3.66,3.71
2.0,4.2,4.45,3.81,3.84,4.26,3.85,3.47,3.58,3.47,4.23,4.45,3.83,3.88,4.32,3.84,3.51,3.65,3.52,4.32,4.59,3.95,3.98,4.46,4.01,3.6,3.75,3.6
2.5,4.07,4.42,3.86,3.63,4.29,3.63,3.42,3.37,3.5,4.08,4.4,3.86,3.64,4.3,3.64,3.42,3.42,3.52,4.21,4.48,3.96,3.67,4.4,3.69,3.55,3.52,3.58
3.0,4.15,4.36,3.81,3.68,4.32,3.83,3.47,3.45,3.42,4.12,4.37,3.81,3.71,4.33,3.84,3.51,3.53,3.47,4.27,4.48,3.91,3.77,4.39,3.94,3.6,3.57,3.55
3.5,4.12,4.48,3.77,3.66,4.32,3.73,3.42,3.39,3.43,4.13,4.49,3.76,3.66,4.31,3.74,3.44,3.43,3.52,4.22,4.58,3.91,3.72,4.43,3.79,3.58,3.51,3.58
4.0,4.16,4.42,3.78,3.55,4.28,3.69,3.41,3.36,3.32,4.16,4.43,3.78,3.55,4.25,3.7,3.42,3.37,3.36,4.27,4.53,3.86,3.62,4.35,3.78,3.51,3.44,3.38
4.5,4.04,4.44,3.67,3.65,4.34,3.78,3.31,3.45,3.43,4.03,4.44,3.69,3.7,4.37,3.76,3.36,3.48,3.43,4.15,4.58,3.78,3.77,4.43,3.86,3.4,3.5,3.49
5.0,4.1,4.3,3.73,3.55,4.35,3.82,3.44,3.49,3.41,4.07,4.3,3.77,3.55,4.32,3.79,3.48,3.49,3.44,4.2,4.46,3.88,3.57,4.43,3.88,3.52,3.57,3.5
5.5,4.15,4.42,3.79,3.59,4.35,3.79,3.4,3.33,3.36,4.14,4.43,3.81,3.52,4.39,3.75,3.41,3.37,3.37,4.19,4.53,3.88,3.6,4.43,3.79,3.54,3.46,3.46
6.0,4.1,4.29,3.76,3.63,4.27,3.76,3.37,3.38,3.41,4.09,4.29,3.75,3.62,4.24,3.7,3.41,3.37,3.41,4.19,4.39,3.8,3.71,4.33,3.78,3.49,3.44,3.48
6.5,4.11,4.42,3.67,3.68,4.33,3.78,3.43,3.36,3.41,4.1,4.42,3.68,3.66,4.35,3.77,3.4,3.36,3.43,4.18,4.53,3.73,3.72,4.43,3.88,3.48,3.39,3.46
7.0,4.1,4.36,3.78,3.73,4.36,3.76,3.49,3.47,3.26,4.11,4.36,3.76,3.69,4.33,3.74,3.41,3.48,3.26,4.22,4.49,3.84,3.74,4.41,3.8,3.49,3.53,3.3
7.5,4.08,4.34,3.78,3.64,4.35,3.77,3.51,3.55,3.42,4.06,4.33,3.76,3.61,4.35,3.75,3.53,3.52,3.38,4.13,4.43,3.86,3.65,4.43,3.81,3.6,3.6,3.42
8.0,4.18,4.36,3.72,3.64,4.31,3.77,3.31,3.47,3.41,4.13,4.35,3.7,3.59,4.3,3.76,3.31,3.49,3.4,4.26,4.45,3.78,3.64,4.36,3.8,3.43,3.58,3.5
8.5,4.1,4.51,3.8,3.55,4.32,3.8,3.44,3.49,3.43,4.07,4.5,3.74,3.5,4.3,3.75,3.46,3.47,3.42,4.13,4.64,3.84,3.55,4.36,3.81,3.53,3.56,3.48
9.0,4.14,4.33,3.82,3.6,4.29,3.76,3.42,3.5,3.3,4.08,4.29,3.82,3.59,4.25,3.74,3.45,3.49,3.31,4.15,4.47,3.94,3.62,4.32,3.83,3.49,3.55,3.38
9.5,4.13,4.33,3.74,3.6,4.35,3.74,3.42,3.4,3.45,4.1,4.32,3.74,3.59,4.33,3.71,3.4,3.4,3.44,4.22,4.46,3.81,3.66,4.39,3.76,3.48,3.51,3.48
