ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,4.21,4.36,5.64,4.07,3.14,4.79,1.79,SPE
LRG,6.57,3.14,3.93,4.43,4.21,3.86,1.86,SPE
RF,6.21,4.36,3.29,4.93,2.5,4.29,2.43,SPE
SVM,6.21,2.71,4.0,4.14,4.79,3.57,2.57,SPE
KNN,5.07,4.14,4.36,2.5,4.29,4.64,3.0,SPE
SGD,6.57,3.79,2.86,3.43,4.57,3.5,3.29,SPE
MLP,6.79,3.5,3.71,3.07,3.43,4.14,3.36,SPE
DTREE,4.86,4.79,4.43,4.0,3.07,2.79,4.07,SPE
avarage,5.81,3.85,4.03,3.82,3.75,3.95,2.79,SPE
std,0.96,0.7,0.84,0.78,0.82,0.66,0.78,SPE
