ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,2.09,4.07,3.46,5.07,5.21,4.52,3.57,REC
RF,2.93,4.02,3.14,4.04,5.66,4.42,3.79,REC
MLP,2.17,3.37,3.33,4.5,5.75,5.05,3.84,REC
LRG,2.41,3.56,3.39,4.94,5.36,4.49,3.84,REC
SGD,2.13,3.99,3.82,4.74,4.91,4.52,3.89,REC
KNN,1.64,4.77,3.62,4.7,6.09,3.27,3.91,REC
ABC,2.2,4.02,3.65,4.62,5.95,3.53,4.02,REC
DTREE,2.57,4.25,3.06,4.07,5.77,3.91,4.37,REC
avarage,2.27,4.01,3.43,4.59,5.59,4.21,3.9,REC
std,0.38,0.42,0.26,0.37,0.4,0.59,0.23,REC
