ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,5.54,3.48,3.98,4.48,4.13,3.43,2.96,SPE
ABC,6.07,3.56,3.56,3.64,3.73,4.28,3.16,SPE
KNN,6.58,3.02,4.35,3.43,2.97,4.47,3.19,SPE
LRG,6.93,3.46,4.13,3.27,3.48,3.34,3.39,SPE
SGD,6.34,3.95,3.66,3.57,3.89,3.21,3.39,SPE
RF,6.35,3.61,3.61,4.02,2.84,4.12,3.43,SPE
MLP,6.78,3.67,3.83,3.7,3.29,3.27,3.46,SPE
SVM,6.77,3.67,3.61,3.41,3.78,3.28,3.48,SPE
avarage,6.42,3.55,3.84,3.69,3.51,3.68,3.31,SPE
std,0.45,0.27,0.29,0.39,0.45,0.52,0.18,SPE
