ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,2.19,3.94,3.37,4.75,5.27,4.52,3.95,REC
SGD,2.5,4.07,4.0,4.15,4.74,4.37,4.18,REC
LRG,2.49,3.73,3.26,4.58,5.44,4.3,4.2,REC
MLP,2.31,3.68,3.04,4.47,5.41,4.81,4.28,REC
ABC,2.36,4.06,3.7,4.22,5.93,3.25,4.48,REC
RF,2.48,3.76,3.23,3.89,5.54,4.47,4.63,REC
DTREE,2.7,3.53,3.11,3.88,6.11,3.98,4.69,REC
KNN,1.57,4.42,3.42,4.61,5.86,3.35,4.76,REC
avarage,2.32,3.9,3.39,4.32,5.54,4.13,4.4,REC
std,0.34,0.28,0.32,0.33,0.44,0.56,0.29,REC
