alphas,area_GEO,volume_GEO,area_volume_ratio_GEO,edge_ratio_GEO,radius_ratio_GEO,aspect_ratio_GEO,max_solid_angle_GEO,min_solid_angle_GEO,solid_angle_GEO,area_IBA,volume_IBA,area_volume_ratio_IBA,edge_ratio_IBA,radius_ratio_IBA,aspect_ratio_IBA,max_solid_angle_IBA,min_solid_angle_IBA,solid_angle_IBA
1.0,4.93,5.45,4.73,4.13,4.27,3.96,4.21,4.26,4.2,4.93,5.69,4.86,4.18,4.39,4.11,4.48,4.49,4.37
1.5,4.85,5.28,4.57,4.3,4.44,4.04,3.83,4.1,4.25,5.05,5.47,4.71,4.43,4.66,4.22,4.09,4.26,4.31
2.0,4.71,5.15,5.02,3.94,4.31,4.16,4.07,4.24,3.91,4.88,5.38,5.13,4.04,4.48,4.42,4.4,4.57,4.06
2.5,4.83,5.12,4.7,4.34,4.4,4.09,4.22,4.04,4.16,5.01,5.31,4.96,4.46,4.62,4.32,4.4,4.24,4.43
3.0,4.66,5.23,4.68,4.24,4.23,4.1,4.21,4.09,4.19,4.88,5.29,4.81,4.46,4.55,4.38,4.29,4.2,4.41
3.5,4.86,5.32,4.63,4.24,4.4,4.05,4.27,4.21,4.41,5.04,5.45,4.82,4.4,4.6,4.24,4.29,4.43,4.39
4.0,4.79,5.29,4.67,3.94,4.18,4.17,4.1,3.93,3.82,4.85,5.48,4.75,4.09,4.35,4.45,4.35,4.11,4.01
4.5,4.89,5.38,4.92,4.47,4.38,4.2,4.27,4.17,4.38,4.96,5.38,5.04,4.64,4.66,4.42,4.48,4.24,4.51
5.0,4.83,5.36,4.57,4.27,3.94,4.29,4.0,3.96,4.35,4.88,5.56,4.75,4.64,4.22,4.41,4.17,3.95,4.56
5.5,4.73,5.16,4.64,4.2,4.12,4.29,3.88,4.11,4.18,4.96,5.42,4.87,4.45,4.36,4.34,4.14,4.3,4.31
6.0,5.02,5.35,4.71,4.18,4.17,4.08,4.04,4.35,3.77,5.02,5.48,4.79,4.25,4.48,4.12,4.31,4.53,3.9
6.5,5.11,5.01,4.86,4.08,4.29,4.41,4.04,4.15,4.33,5.27,5.11,5.01,4.29,4.59,4.42,4.17,4.25,4.33
7.0,5.04,5.29,4.81,4.3,4.51,4.44,4.23,3.92,4.34,5.35,5.5,4.85,4.35,4.69,4.54,4.65,4.05,4.67
7.5,5.16,5.0,4.97,4.21,4.22,4.12,4.11,3.79,3.91,5.23,5.1,5.01,4.17,4.5,4.25,4.36,4.05,4.23
8.0,5.23,5.21,4.34,3.92,4.18,4.49,3.75,4.46,4.37,5.26,5.37,4.51,4.22,4.39,4.57,3.89,4.62,4.5
8.5,4.79,5.01,4.71,4.21,4.43,3.97,4.29,4.19,4.3,4.83,5.15,4.78,4.4,4.69,4.09,4.55,4.37,4.57
9.0,4.96,5.21,4.95,4.49,4.49,4.28,3.99,4.14,4.13,4.99,5.32,5.07,4.54,4.79,4.44,4.17,4.28,4.38
9.5,4.58,4.93,4.97,4.26,4.47,4.29,4.3,4.09,4.09,4.73,5.07,5.22,4.46,4.74,4.38,4.35,4.21,4.32
