ALGORITHM,unit,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY
LRG,GEO,6.57,2.95,3.62,4.43,4.36,3.67,2.41
SVM,GEO,6.21,3.17,3.95,3.93,4.31,3.33,3.09
RF,GEO,5.05,3.98,3.19,3.62,3.93,4.78,3.45
KNN,GEO,5.21,3.86,3.17,3.31,4.02,4.43,4.0
ABC,GEO,4.19,3.4,4.1,3.28,4.72,4.12,4.19
MLP,GEO,5.86,3.62,3.0,3.76,3.93,3.36,4.48
DTREE,GEO,4.67,3.81,3.41,3.45,4.55,3.47,4.64
SGD,GEO,6.55,2.98,3.41,3.36,3.52,3.45,4.74
avarage,GEO,5.54,3.47,3.48,3.64,4.17,3.83,3.88
std,GEO,1.23,0.51,0.6,0.59,0.75,0.77,0.84
