ALGORITHM,unit,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY
LRG,AUC,6.43,3.32,3.69,3.69,4.42,3.36,3.08
RF,AUC,5.7,3.34,3.31,3.78,4.19,4.45,3.24
ABC,AUC,6.36,3.27,3.42,3.59,4.28,3.81,3.26
SVM,AUC,6.05,3.35,3.54,3.86,4.51,3.41,3.28
MLP,AUC,5.88,3.46,3.47,4.1,4.08,3.68,3.32
DTREE,AUC,5.6,3.43,3.41,3.96,4.4,3.79,3.4
SGD,AUC,5.64,3.53,3.58,3.84,3.92,4.02,3.47
KNN,AUC,5.87,3.11,3.7,3.65,4.24,3.8,3.62
avarage,AUC,5.94,3.35,3.52,3.81,4.25,3.79,3.34
std,AUC,0.63,0.29,0.21,0.25,0.37,0.4,0.17
