ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.64,3.86,3.93,3.57,3.43,4.0,IBA
SGD,6.14,3.14,2.86,3.93,4.07,3.14,4.71,IBA
ABC,2.71,3.64,4.71,3.79,3.64,4.43,5.07,IBA
SVM,5.71,2.36,3.79,3.43,3.79,3.43,5.5,IBA
RF,5.36,3.07,2.71,4.29,3.0,3.79,5.79,IBA
KNN,4.5,3.43,3.71,2.71,4.14,3.57,5.93,IBA
MLP,6.71,2.0,3.0,2.93,3.79,3.5,6.07,IBA
DTREE,3.79,3.93,3.43,2.57,4.36,3.64,6.29,IBA
avarage,5.19,3.03,3.51,3.45,3.79,3.62,5.42,IBA
std,1.42,0.66,0.66,0.64,0.42,0.38,0.78,IBA
