ALGORITHM,unit,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY
LRG,IBA,6.27,3.16,3.7,3.96,4.57,3.28,3.06
ABC,IBA,6.07,3.28,3.38,3.65,4.39,4.1,3.14
SVM,IBA,5.93,3.47,3.61,3.86,4.57,3.37,3.2
RF,IBA,6.0,3.34,3.52,3.69,3.93,4.29,3.24
DTREE,IBA,6.2,3.19,3.5,3.81,4.37,3.64,3.29
MLP,IBA,6.5,3.21,3.4,3.91,3.95,3.68,3.36
SGD,IBA,6.14,3.2,3.55,3.79,4.01,3.89,3.41
KNN,IBA,5.83,3.11,3.76,3.72,4.07,3.87,3.65
avarage,IBA,6.12,3.24,3.55,3.8,4.23,3.77,3.29
std,IBA,0.6,0.33,0.18,0.24,0.38,0.46,0.19
