MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_Borderline1,ABC,NONE,NONE,0.546,0.532,0.7620000000000001,0.534,0.6319999999999999,0.392
PCA,contraceptive,_Borderline1,DTREE,NONE,NONE,0.49000000000000005,0.49000000000000005,0.728,0.49000000000000005,0.592,0.348
PCA,contraceptive,_Borderline1,KNN,NONE,NONE,0.48599999999999993,0.476,0.732,0.4779999999999999,0.586,0.336
PCA,contraceptive,_Borderline1,LRG,NONE,NONE,0.496,0.508,0.7139999999999999,0.49800000000000005,0.5839999999999999,0.34
PCA,contraceptive,_Borderline1,MLP,NONE,NONE,0.5720000000000001,0.548,0.782,0.5559999999999999,0.6559999999999999,0.42000000000000004
PCA,contraceptive,_Borderline1,RF,NONE,NONE,0.512,0.51,0.736,0.512,0.608,0.364
PCA,contraceptive,_Borderline1,SGD,NONE,NONE,0.5499999999999999,0.392,0.76,0.33399999999999996,0.388,0.188
PCA,contraceptive,_Borderline1,SVM,NONE,NONE,0.54,0.524,0.7619999999999999,0.528,0.632,0.39
PCA,contraceptive,_Borderline2,ABC,NONE,NONE,0.542,0.518,0.76,0.526,0.6279999999999999,0.384
PCA,contraceptive,_Borderline2,DTREE,NONE,NONE,0.476,0.466,0.724,0.46799999999999997,0.58,0.33
PCA,contraceptive,_Borderline2,KNN,NONE,NONE,0.476,0.46399999999999997,0.728,0.46799999999999997,0.578,0.328
PCA,contraceptive,_Borderline2,LRG,NONE,NONE,0.49399999999999994,0.502,0.708,0.49399999999999994,0.582,0.334
PCA,contraceptive,_Borderline2,MLP,NONE,NONE,0.5780000000000001,0.5559999999999999,0.782,0.558,0.66,0.426
PCA,contraceptive,_Borderline2,RF,NONE,NONE,0.524,0.524,0.7459999999999999,0.524,0.622,0.38
PCA,contraceptive,_Borderline2,SGD,NONE,NONE,0.518,0.442,0.688,0.378,0.41,0.188
PCA,contraceptive,_Borderline2,SVM,NONE,NONE,0.544,0.528,0.7619999999999999,0.53,0.634,0.392
PCA,contraceptive,_Geometric_SMOTE,ABC,NONE,NONE,0.55,0.546,0.758,0.546,0.6380000000000001,0.4
PCA,contraceptive,_Geometric_SMOTE,DTREE,NONE,NONE,0.466,0.466,0.714,0.466,0.5720000000000001,0.32
