MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_Borderline1,ABC,NONE,NONE,0.542,0.526,0.764,0.532,0.632,0.39399999999999996
PCA,contraceptive,_Borderline1,DTREE,NONE,NONE,0.488,0.48200000000000004,0.7259999999999999,0.48599999999999993,0.588,0.34
PCA,contraceptive,_Borderline1,GNB,NONE,NONE,0.542,0.4779999999999999,0.774,0.48200000000000004,0.6,0.35
PCA,contraceptive,_Borderline1,KNN,NONE,NONE,0.49400000000000005,0.48200000000000004,0.7380000000000001,0.48600000000000004,0.594,0.34400000000000003
PCA,contraceptive,_Borderline1,LRG,NONE,NONE,0.5040000000000001,0.512,0.7140000000000001,0.502,0.588,0.346
PCA,contraceptive,_Borderline1,MLP,NONE,NONE,0.5800000000000001,0.556,0.784,0.5640000000000001,0.66,0.426
PCA,contraceptive,_Borderline1,QDA,NONE,NONE,0.5800000000000001,0.524,0.792,0.5279999999999999,0.64,0.4
PCA,contraceptive,_Borderline1,RF,NONE,NONE,0.5359999999999999,0.5359999999999999,0.75,0.538,0.6279999999999999,0.392
PCA,contraceptive,_Borderline1,SGD,NONE,NONE,0.492,0.44399999999999995,0.716,0.388,0.42400000000000004,0.22800000000000004
PCA,contraceptive,_Borderline1,SVM,NONE,NONE,0.54,0.522,0.7620000000000001,0.526,0.6279999999999999,0.39
PCA,contraceptive,_Borderline2,ABC,NONE,NONE,0.542,0.526,0.7619999999999999,0.532,0.632,0.39399999999999996
PCA,contraceptive,_Borderline2,DTREE,NONE,NONE,0.48200000000000004,0.476,0.726,0.476,0.5820000000000001,0.33399999999999996
PCA,contraceptive,_Borderline2,GNB,NONE,NONE,0.5479999999999999,0.484,0.7780000000000001,0.488,0.604,0.35600000000000004
PCA,contraceptive,_Borderline2,KNN,NONE,NONE,0.49400000000000005,0.47800000000000004,0.734,0.484,0.5940000000000001,0.34400000000000003
PCA,contraceptive,_Borderline2,LRG,NONE,NONE,0.49800000000000005,0.506,0.712,0.49800000000000005,0.582,0.34199999999999997
PCA,contraceptive,_Borderline2,MLP,NONE,NONE,0.576,0.554,0.7819999999999999,0.5599999999999999,0.6580000000000001,0.426
PCA,contraceptive,_Borderline2,QDA,NONE,NONE,0.584,0.524,0.796,0.528,0.638,0.4
PCA,contraceptive,_Borderline2,RF,NONE,NONE,0.528,0.5280000000000001,0.746,0.524,0.6220000000000001,0.38
PCA,contraceptive,_Borderline2,SGD,NONE,NONE,0.516,0.484,0.712,0.43599999999999994,0.49000000000000005,0.27799999999999997
PCA,contraceptive,_Borderline2,SVM,NONE,NONE,0.538,0.522,0.758,0.526,0.63,0.39
PCA,contraceptive,_Geometric_SMOTE,ABC,NONE,NONE,0.532,0.53,0.75,0.53,0.626,0.384
PCA,contraceptive,_Geometric_SMOTE,DTREE,NONE,NONE,0.49399999999999994,0.49000000000000005,0.7300000000000001,0.492,0.594,0.346
PCA,contraceptive,_Geometric_SMOTE,GNB,NONE,NONE,0.544,0.5,0.774,0.506,0.616,0.37
PCA,contraceptive,_Geometric_SMOTE,KNN,NONE,NONE,0.488,0.48,0.7300000000000001,0.484,0.59,0.34
PCA,contraceptive,_Geometric_SMOTE,LRG,NONE,NONE,0.5,0.51,0.718,0.5040000000000001,0.588,0.346
PCA,contraceptive,_Geometric_SMOTE,MLP,NONE,NONE,0.582,0.56,0.782,0.568,0.662,0.43
PCA,contraceptive,_Geometric_SMOTE,QDA,NONE,NONE,0.5599999999999999,0.52,0.7779999999999999,0.524,0.63,0.39399999999999996
PCA,contraceptive,_Geometric_SMOTE,RF,NONE,NONE,0.536,0.54,0.75,0.534,0.628,0.394
PCA,contraceptive,_Geometric_SMOTE,SGD,NONE,NONE,0.5,0.45999999999999996,0.7120000000000001,0.388,0.434,0.22600000000000003
PCA,contraceptive,_Geometric_SMOTE,SVM,NONE,NONE,0.5439999999999999,0.526,0.768,0.5280000000000001,0.632,0.39399999999999996
PCA,contraceptive,_SMOTE,ABC,NONE,NONE,0.546,0.53,0.764,0.534,0.634,0.396
PCA,contraceptive,_SMOTE,DTREE,NONE,NONE,0.48,0.4779999999999999,0.722,0.4779999999999999,0.5820000000000001,0.332
PCA,contraceptive,_SMOTE,GNB,NONE,NONE,0.546,0.476,0.774,0.48200000000000004,0.5999999999999999,0.35200000000000004
PCA,contraceptive,_SMOTE,KNN,NONE,NONE,0.48200000000000004,0.472,0.726,0.472,0.5839999999999999,0.332
PCA,contraceptive,_SMOTE,LRG,NONE,NONE,0.502,0.51,0.716,0.504,0.5900000000000001,0.348
PCA,contraceptive,_SMOTE,MLP,NONE,NONE,0.5720000000000001,0.556,0.782,0.5619999999999999,0.658,0.426
PCA,contraceptive,_SMOTE,QDA,NONE,NONE,0.576,0.522,0.792,0.5280000000000001,0.6359999999999999,0.39799999999999996
PCA,contraceptive,_SMOTE,RF,NONE,NONE,0.524,0.526,0.74,0.526,0.62,0.37799999999999995
PCA,contraceptive,_SMOTE,SGD,NONE,NONE,0.372,0.45200000000000007,0.682,0.362,0.342,0.19
PCA,contraceptive,_SMOTE,SVM,NONE,NONE,0.538,0.524,0.764,0.528,0.6299999999999999,0.392
PCA,contraceptive,_smoteSVM,ABC,NONE,NONE,0.548,0.536,0.766,0.54,0.638,0.4
PCA,contraceptive,_smoteSVM,DTREE,NONE,NONE,0.5,0.496,0.732,0.496,0.5999999999999999,0.356
PCA,contraceptive,_smoteSVM,GNB,NONE,NONE,0.546,0.48200000000000004,0.772,0.48599999999999993,0.606,0.356
PCA,contraceptive,_smoteSVM,KNN,NONE,NONE,0.49399999999999994,0.48599999999999993,0.73,0.49000000000000005,0.5940000000000001,0.34400000000000003
