DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,ABC,0.53,4.5,0.53,4.5,0.5379999999999999,2.0,0.5519999999999999,1.0,0.526,7.0,0.5360000000000001,3.0,0.5279999999999999,6.0,max_solid_angle,3.5,F1
dermatology,ABC,0.674,1.0,0.596,2.0,0.506,5.0,0.5359999999999999,4.0,0.4840000000000001,6.0,0.262,7.0,0.564,3.0,max_solid_angle,3.5,F1
glass,ABC,0.416,2.0,0.4,3.0,0.45,1.0,0.358,4.0,0.326,5.0,0.28400000000000003,6.0,0.198,7.0,max_solid_angle,3.5,F1
new-thyroid,ABC,0.9420000000000001,1.0,0.9079999999999999,3.0,0.8420000000000001,7.0,0.8720000000000001,6.0,0.882,4.5,0.882,4.5,0.918,2.0,max_solid_angle,3.5,F1
penbased,ABC,0.172,2.5,0.16,5.0,0.162,4.0,0.18,1.0,0.172,2.5,0.14,7.0,0.154,6.0,max_solid_angle,3.5,F1
thyroid,ABC,0.946,1.0,0.82,6.0,0.9059999999999999,3.0,0.8920000000000001,4.0,0.8019999999999999,7.0,0.912,2.0,0.826,5.0,max_solid_angle,3.5,F1
wine,ABC,0.9079999999999999,4.5,0.932,1.0,0.9079999999999999,4.5,0.91,3.0,0.8560000000000001,7.0,0.8960000000000001,6.0,0.912,2.0,max_solid_angle,3.5,F1
