DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,MLP,0.56,7.0,0.578,2.5,0.564,6.0,0.5720000000000001,4.0,0.5780000000000001,2.5,0.5680000000000001,5.0,0.5820000000000001,1.0,area,8.5,PRE
dermatology,MLP,0.968,5.5,0.976,2.5,0.976,2.5,0.978,1.0,0.966,7.0,0.972,4.0,0.968,5.5,area,8.5,PRE
glass,MLP,0.418,7.0,0.5379999999999999,3.0,0.47200000000000003,5.0,0.54,1.5,0.54,1.5,0.5039999999999999,4.0,0.43799999999999994,6.0,area,8.5,PRE
new-thyroid,MLP,0.8779999999999999,7.0,0.976,2.0,0.978,1.0,0.958,4.0,0.9559999999999998,5.0,0.974,3.0,0.902,6.0,area,8.5,PRE
penbased,MLP,0.962,6.5,0.976,2.0,0.976,2.0,0.972,4.0,0.97,5.0,0.976,2.0,0.962,6.5,area,8.5,PRE
thyroid,MLP,0.912,6.5,0.9540000000000001,3.0,0.9540000000000001,3.0,0.9540000000000001,3.0,0.96,1.0,0.9440000000000001,5.0,0.912,6.5,area,8.5,PRE
wine,MLP,0.5720000000000001,7.0,0.7559999999999999,5.0,0.7859999999999999,1.0,0.7779999999999999,2.0,0.7759999999999999,3.0,0.762,4.0,0.73,6.0,area,8.5,PRE
