MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_Borderline1,ABC,NONE,NONE,0.546,0.532,0.7620000000000001,0.534,0.6319999999999999,0.392
PCA,contraceptive,_Borderline1,DTREE,NONE,NONE,0.4900000000000001,0.4900000000000001,0.728,0.4900000000000001,0.5920000000000001,0.348
PCA,contraceptive,_Borderline1,KNN,NONE,NONE,0.4859999999999999,0.47600000000000003,0.732,0.4779999999999999,0.586,0.336
PCA,contraceptive,_Borderline1,LRG,NONE,NONE,0.496,0.508,0.7139999999999999,0.4980000000000001,0.5839999999999999,0.34
PCA,contraceptive,_Borderline1,MLP,NONE,NONE,0.5720000000000001,0.5479999999999999,0.782,0.5559999999999999,0.6559999999999999,0.42
PCA,contraceptive,_Borderline1,RF,NONE,NONE,0.512,0.51,0.736,0.512,0.608,0.364
PCA,contraceptive,_Borderline1,SGD,NONE,NONE,0.5499999999999999,0.392,0.76,0.334,0.38799999999999996,0.188
PCA,contraceptive,_Borderline1,SVM,NONE,NONE,0.54,0.524,0.7619999999999999,0.528,0.632,0.39
PCA,dermatology,_Borderline1,ABC,NONE,NONE,0.526,0.5920000000000001,0.8620000000000001,0.522,0.5780000000000001,0.468
PCA,dermatology,_Borderline1,DTREE,NONE,NONE,0.8859999999999999,0.8720000000000001,0.97,0.8759999999999999,0.922,0.8420000000000001
PCA,dermatology,_Borderline1,KNN,NONE,NONE,0.958,0.956,0.9940000000000001,0.956,0.9740000000000001,0.9479999999999998
PCA,dermatology,_Borderline1,LRG,NONE,NONE,0.918,0.912,0.98,0.9079999999999999,0.9420000000000001,0.89
PCA,dermatology,_Borderline1,MLP,NONE,NONE,0.978,0.978,0.998,0.978,0.986,0.974
PCA,dermatology,_Borderline1,RF,NONE,NONE,0.946,0.9440000000000002,0.99,0.9420000000000001,0.966,0.93
PCA,dermatology,_Borderline1,SGD,NONE,NONE,0.8059999999999999,0.8039999999999999,0.96,0.778,0.826,0.76
PCA,dermatology,_Borderline1,SVM,NONE,NONE,0.938,0.938,0.988,0.934,0.962,0.924
PCA,glass,_Borderline1,ABC,NONE,NONE,0.382,0.464,0.7759999999999999,0.368,0.444,0.3
PCA,glass,_Borderline1,DTREE,NONE,NONE,0.72,0.6940000000000001,0.892,0.6980000000000001,0.77,0.616
PCA,glass,_Borderline1,KNN,NONE,NONE,0.728,0.6679999999999999,0.9059999999999999,0.6819999999999999,0.76,0.5940000000000001
PCA,glass,_Borderline1,LRG,NONE,NONE,0.126,0.35600000000000004,0.644,0.18600000000000003,0.0,0.0
PCA,glass,_Borderline1,MLP,NONE,NONE,0.54,0.5539999999999999,0.8079999999999999,0.51,0.594,0.42
PCA,glass,_Borderline1,RF,NONE,NONE,0.7340000000000001,0.742,0.898,0.7340000000000001,0.7859999999999999,0.6599999999999999
