DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,GNB,0.768,6.5,0.7759999999999999,1.5,0.772,4.5,0.7759999999999999,1.5,0.772,4.5,0.7680000000000001,6.5,0.774,3.0,area,3.0,SPE
dermatology,GNB,0.972,2.5,0.972,2.5,0.972,2.5,0.97,5.5,0.972,2.5,0.97,5.5,0.926,7.0,area,3.0,SPE
glass,GNB,0.8320000000000001,5.0,0.8640000000000001,1.0,0.8540000000000001,2.5,0.8540000000000001,2.5,0.85,4.0,0.7939999999999999,7.0,0.8240000000000001,6.0,area,3.0,SPE
new-thyroid,GNB,0.946,5.0,0.958,4.0,0.968,2.0,0.968,2.0,0.968,2.0,0.934,6.0,0.902,7.0,area,3.0,SPE
penbased,GNB,0.982,4.0,0.982,4.0,0.982,4.0,0.982,4.0,0.982,4.0,0.982,4.0,0.982,4.0,area,3.0,SPE
thyroid,GNB,0.8079999999999999,5.0,0.8079999999999999,5.0,0.8079999999999999,5.0,0.774,7.0,0.8320000000000001,2.0,0.8099999999999999,3.0,0.8380000000000001,1.0,area,3.0,SPE
wine,GNB,0.9479999999999998,4.5,0.9479999999999998,4.5,0.946,6.0,0.9520000000000001,1.0,0.95,2.5,0.93,7.0,0.95,2.5,area,3.0,SPE
