MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_Borderline1,ABC,NONE,NONE,0.564,0.5479999999999999,0.774,0.5519999999999999,0.6500000000000001,0.416
PCA,contraceptive,_Borderline1,DTREE,NONE,NONE,0.474,0.47,0.716,0.47200000000000003,0.5740000000000001,0.32799999999999996
PCA,contraceptive,_Borderline1,KNN,NONE,NONE,0.484,0.47600000000000003,0.7300000000000001,0.47600000000000003,0.5860000000000001,0.338
PCA,contraceptive,_Borderline1,LRG,NONE,NONE,0.494,0.5040000000000001,0.708,0.494,0.5820000000000001,0.336
PCA,contraceptive,_Borderline1,MLP,NONE,NONE,0.578,0.556,0.784,0.562,0.6580000000000001,0.424
PCA,contraceptive,_Borderline1,RF,NONE,NONE,0.5399999999999999,0.5379999999999999,0.752,0.5379999999999999,0.632,0.39399999999999996
PCA,contraceptive,_Borderline1,SGD,NONE,NONE,0.5479999999999999,0.45799999999999996,0.742,0.412,0.4659999999999999,0.258
PCA,contraceptive,_Borderline1,SVM,NONE,NONE,0.5379999999999999,0.5219999999999999,0.7619999999999999,0.522,0.63,0.38799999999999996
PCA,dermatology,_Borderline1,ABC,NONE,NONE,0.5539999999999999,0.5820000000000001,0.8740000000000001,0.5359999999999999,0.6060000000000001,0.474
PCA,dermatology,_Borderline1,DTREE,NONE,NONE,0.89,0.884,0.974,0.8859999999999999,0.924,0.8539999999999999
PCA,dermatology,_Borderline1,KNN,NONE,NONE,0.95,0.946,0.99,0.946,0.968,0.934
PCA,dermatology,_Borderline1,LRG,NONE,NONE,0.924,0.922,0.9840000000000001,0.914,0.946,0.8960000000000001
PCA,dermatology,_Borderline1,MLP,NONE,NONE,0.978,0.978,0.998,0.978,0.986,0.974
PCA,dermatology,_Borderline1,RF,NONE,NONE,0.9540000000000001,0.9540000000000001,0.99,0.9540000000000001,0.972,0.938
PCA,dermatology,_Borderline1,SGD,NONE,NONE,0.8780000000000001,0.8759999999999999,0.968,0.858,0.902,0.8400000000000001
PCA,dermatology,_Borderline1,SVM,NONE,NONE,0.9420000000000001,0.934,0.988,0.932,0.956,0.924
PCA,glass,_Borderline1,ABC,NONE,NONE,0.366,0.4560000000000001,0.77,0.358,0.424,0.28600000000000003
PCA,glass,_Borderline1,DTREE,NONE,NONE,0.738,0.7060000000000001,0.8860000000000001,0.706,0.7799999999999999,0.62
PCA,glass,_Borderline1,KNN,NONE,NONE,0.732,0.6679999999999999,0.902,0.6739999999999999,0.762,0.5920000000000001
PCA,glass,_Borderline1,LRG,NONE,NONE,0.126,0.35600000000000004,0.644,0.18600000000000003,0.0,0.0
PCA,glass,_Borderline1,MLP,NONE,NONE,0.452,0.546,0.8019999999999999,0.4720000000000001,0.5519999999999999,0.402
PCA,glass,_Borderline1,RF,NONE,NONE,0.752,0.7340000000000001,0.898,0.732,0.792,0.6479999999999999
PCA,glass,_Borderline1,SGD,NONE,NONE,0.254,0.33,0.79,0.258,0.278,0.166
PCA,glass,_Borderline1,SVM,NONE,NONE,0.126,0.35600000000000004,0.644,0.18600000000000003,0.0,0.0
PCA,new-thyroid,_Borderline1,ABC,NONE,NONE,0.8719999999999999,0.8880000000000001,0.8019999999999999,0.8720000000000001,0.8079999999999999,0.7040000000000001
PCA,new-thyroid,_Borderline1,DTREE,NONE,NONE,0.958,0.958,0.934,0.958,0.9440000000000002,0.898
PCA,new-thyroid,_Borderline1,KNN,NONE,NONE,0.962,0.962,0.9540000000000001,0.962,0.958,0.92
PCA,new-thyroid,_Borderline1,LRG,NONE,NONE,0.8079999999999999,0.8420000000000001,0.634,0.8039999999999999,0.6559999999999999,0.4859999999999999
PCA,new-thyroid,_Borderline1,MLP,NONE,NONE,0.964,0.956,0.9620000000000001,0.958,0.96,0.922
PCA,new-thyroid,_Borderline1,RF,NONE,NONE,0.97,0.968,0.946,0.968,0.9540000000000001,0.9159999999999999
PCA,new-thyroid,_Borderline1,SGD,NONE,NONE,0.8059999999999998,0.7240000000000001,0.6759999999999999,0.7000000000000001,0.6200000000000001,0.414
PCA,new-thyroid,_Borderline1,SVM,NONE,NONE,0.91,0.8939999999999999,0.764,0.882,0.8039999999999999,0.6659999999999999
PCA,penbased,_Borderline1,ABC,NONE,NONE,0.16,0.28600000000000003,0.9200000000000002,0.18,0.27399999999999997,0.208
PCA,penbased,_Borderline1,DTREE,NONE,NONE,0.904,0.9,0.99,0.9,0.9420000000000001,0.8799999999999999
PCA,penbased,_Borderline1,KNN,NONE,NONE,0.9740000000000001,0.972,0.998,0.972,0.982,0.968
PCA,penbased,_Borderline1,LRG,NONE,NONE,0.8699999999999999,0.8619999999999999,0.9840000000000001,0.858,0.9159999999999999,0.8400000000000001
PCA,penbased,_Borderline1,MLP,NONE,NONE,0.9759999999999998,0.9759999999999998,1.0,0.9759999999999998,0.9840000000000001,0.97
PCA,penbased,_Borderline1,RF,NONE,NONE,0.97,0.968,0.998,0.966,0.98,0.964
PCA,penbased,_Borderline1,SGD,NONE,NONE,0.8759999999999999,0.8460000000000001,0.9840000000000001,0.836,0.902,0.8220000000000001
PCA,penbased,_Borderline1,SVM,NONE,NONE,0.978,0.978,1.0,0.978,0.9840000000000001,0.9740000000000001
PCA,thyroid,_Borderline1,ABC,NONE,NONE,0.9420000000000001,0.8699999999999999,0.784,0.8920000000000001,0.82,0.6960000000000001
PCA,thyroid,_Borderline1,DTREE,NONE,NONE,0.97,0.966,0.8280000000000001,0.968,0.892,0.8079999999999999
PCA,thyroid,_Borderline1,KNN,NONE,NONE,0.8939999999999999,0.86,0.414,0.8740000000000001,0.568,0.348
PCA,thyroid,_Borderline1,LRG,NONE,NONE,0.8759999999999999,0.7979999999999999,0.324,0.8280000000000001,0.414,0.22800000000000006
PCA,thyroid,_Borderline1,MLP,NONE,NONE,0.958,0.96,0.6900000000000001,0.9559999999999998,0.8039999999999999,0.67
PCA,thyroid,_Borderline1,RF,NONE,NONE,0.978,0.976,0.8280000000000001,0.9740000000000001,0.8959999999999999,0.8139999999999998
PCA,thyroid,_Borderline1,SGD,NONE,NONE,0.882,0.8019999999999999,0.36,0.82,0.47600000000000003,0.25
PCA,thyroid,_Borderline1,SVM,NONE,NONE,0.884,0.79,0.374,0.826,0.498,0.27399999999999997
PCA,wine,_Borderline1,ABC,NONE,NONE,0.92,0.9079999999999999,0.9440000000000001,0.91,0.924,0.858
PCA,wine,_Borderline1,DTREE,NONE,NONE,0.9159999999999998,0.91,0.9520000000000001,0.91,0.93,0.8620000000000001
PCA,wine,_Borderline1,KNN,NONE,NONE,0.8280000000000001,0.8079999999999999,0.914,0.8079999999999999,0.8560000000000001,0.7299999999999999
PCA,wine,_Borderline1,LRG,NONE,NONE,0.464,0.63,0.78,0.532,0.5660000000000001,0.45
PCA,wine,_Borderline1,MLP,NONE,NONE,0.768,0.748,0.8779999999999999,0.746,0.8,0.648
PCA,wine,_Borderline1,RF,NONE,NONE,0.9620000000000001,0.96,0.976,0.96,0.966,0.936
PCA,wine,_Borderline1,SGD,NONE,NONE,0.546,0.5940000000000001,0.77,0.54,0.532,0.39
PCA,wine,_Borderline1,SVM,NONE,NONE,0.4619999999999999,0.624,0.784,0.528,0.564,0.4460000000000001
PCA,contraceptive,_Borderline2,ABC,NONE,NONE,0.54,0.522,0.762,0.526,0.6279999999999999,0.38799999999999996
PCA,contraceptive,_Borderline2,DTREE,NONE,NONE,0.482,0.478,0.726,0.47600000000000003,0.5839999999999999,0.336
PCA,contraceptive,_Borderline2,KNN,NONE,NONE,0.4859999999999999,0.474,0.73,0.4779999999999999,0.5860000000000001,0.338
PCA,contraceptive,_Borderline2,LRG,NONE,NONE,0.494,0.506,0.7060000000000001,0.4900000000000001,0.5760000000000001,0.332
PCA,contraceptive,_Borderline2,MLP,NONE,NONE,0.5760000000000001,0.5519999999999999,0.782,0.5559999999999999,0.6580000000000001,0.424
PCA,contraceptive,_Borderline2,RF,NONE,NONE,0.536,0.532,0.75,0.534,0.628,0.3880000000000001
PCA,contraceptive,_Borderline2,SGD,NONE,NONE,0.464,0.39799999999999996,0.7139999999999999,0.318,0.33,0.142
PCA,contraceptive,_Borderline2,SVM,NONE,NONE,0.532,0.5199999999999999,0.76,0.5199999999999999,0.6260000000000001,0.382
PCA,dermatology,_Borderline2,ABC,NONE,NONE,0.4760000000000001,0.5599999999999999,0.8440000000000001,0.4840000000000001,0.542,0.42200000000000004
PCA,dermatology,_Borderline2,DTREE,NONE,NONE,0.8800000000000001,0.858,0.972,0.8640000000000001,0.914,0.828
PCA,dermatology,_Borderline2,KNN,NONE,NONE,0.9420000000000001,0.936,0.99,0.936,0.96,0.9200000000000002
PCA,dermatology,_Borderline2,LRG,NONE,NONE,0.93,0.926,0.9840000000000001,0.9200000000000002,0.95,0.902
PCA,dermatology,_Borderline2,MLP,NONE,NONE,0.978,0.978,0.998,0.978,0.986,0.9740000000000001
PCA,dermatology,_Borderline2,RF,NONE,NONE,0.956,0.954,0.994,0.9520000000000002,0.972,0.9440000000000001
PCA,dermatology,_Borderline2,SGD,NONE,NONE,0.7559999999999999,0.764,0.9600000000000002,0.73,0.792,0.722
PCA,dermatology,_Borderline2,SVM,NONE,NONE,0.9440000000000002,0.934,0.988,0.932,0.9559999999999998,0.922
PCA,glass,_Borderline2,ABC,NONE,NONE,0.34,0.4440000000000001,0.7859999999999999,0.326,0.384,0.266
PCA,glass,_Borderline2,DTREE,NONE,NONE,0.6659999999999999,0.62,0.882,0.628,0.7240000000000001,0.5379999999999999
PCA,glass,_Borderline2,KNN,NONE,NONE,0.6860000000000002,0.6579999999999999,0.8880000000000001,0.654,0.7460000000000001,0.5740000000000001
PCA,glass,_Borderline2,LRG,NONE,NONE,0.126,0.35600000000000004,0.644,0.18600000000000003,0.0,0.0
PCA,glass,_Borderline2,MLP,NONE,NONE,0.532,0.5760000000000001,0.818,0.524,0.606,0.4440000000000001
PCA,glass,_Borderline2,RF,NONE,NONE,0.7240000000000001,0.71,0.89,0.7080000000000001,0.7779999999999999,0.626
PCA,glass,_Borderline2,SGD,NONE,NONE,0.17600000000000002,0.35200000000000004,0.7700000000000001,0.222,0.218,0.15
PCA,glass,_Borderline2,SVM,NONE,NONE,0.126,0.35600000000000004,0.644,0.18600000000000003,0.0,0.0
PCA,new-thyroid,_Borderline2,ABC,NONE,NONE,0.884,0.8959999999999999,0.8340000000000001,0.882,0.8380000000000001,0.74
PCA,new-thyroid,_Borderline2,DTREE,NONE,NONE,0.9059999999999999,0.882,0.9399999999999998,0.8879999999999999,0.91,0.826
PCA,new-thyroid,_Borderline2,KNN,NONE,NONE,0.958,0.9520000000000001,0.96,0.9520000000000001,0.956,0.9159999999999999
PCA,new-thyroid,_Borderline2,LRG,NONE,NONE,0.804,0.836,0.622,0.7979999999999999,0.6460000000000001,0.47200000000000003
PCA,new-thyroid,_Borderline2,MLP,NONE,NONE,0.968,0.9620000000000001,0.9840000000000001,0.964,0.9740000000000001,0.9440000000000001
PCA,new-thyroid,_Borderline2,RF,NONE,NONE,0.964,0.958,0.964,0.958,0.96,0.9200000000000002
PCA,new-thyroid,_Borderline2,SGD,NONE,NONE,0.8320000000000001,0.6759999999999999,0.746,0.6459999999999999,0.64,0.444
PCA,new-thyroid,_Borderline2,SVM,NONE,NONE,0.906,0.8879999999999999,0.742,0.8740000000000001,0.7859999999999999,0.64
PCA,penbased,_Borderline2,ABC,NONE,NONE,0.156,0.278,0.918,0.172,0.262,0.20199999999999999
PCA,penbased,_Borderline2,DTREE,NONE,NONE,0.898,0.892,0.99,0.892,0.938,0.8759999999999999
PCA,penbased,_Borderline2,KNN,NONE,NONE,0.976,0.974,0.998,0.974,0.9840000000000001,0.966
PCA,penbased,_Borderline2,LRG,NONE,NONE,0.866,0.86,0.9840000000000001,0.8560000000000001,0.914,0.8380000000000001
PCA,penbased,_Borderline2,MLP,NONE,NONE,0.974,0.972,1.0,0.972,0.982,0.966
PCA,penbased,_Borderline2,RF,NONE,NONE,0.968,0.966,0.998,0.966,0.98,0.964
PCA,penbased,_Borderline2,SGD,NONE,NONE,0.8720000000000001,0.8340000000000001,0.982,0.8299999999999998,0.8960000000000001,0.8099999999999999
PCA,penbased,_Borderline2,SVM,NONE,NONE,0.978,0.978,1.0,0.978,0.9840000000000001,0.9740000000000001
PCA,thyroid,_Borderline2,ABC,NONE,NONE,0.94,0.7260000000000001,0.9,0.8019999999999999,0.8059999999999999,0.64
PCA,thyroid,_Borderline2,DTREE,NONE,NONE,0.962,0.9540000000000001,0.8740000000000001,0.9559999999999998,0.912,0.8379999999999999
PCA,thyroid,_Borderline2,KNN,NONE,NONE,0.892,0.8480000000000001,0.39799999999999996,0.868,0.5559999999999999,0.326
PCA,thyroid,_Borderline2,LRG,NONE,NONE,0.882,0.8099999999999999,0.374,0.8380000000000001,0.5159999999999999,0.28800000000000003
PCA,thyroid,_Borderline2,MLP,NONE,NONE,0.958,0.9559999999999998,0.7220000000000001,0.9559999999999998,0.826,0.7040000000000001
PCA,thyroid,_Borderline2,RF,NONE,NONE,0.978,0.974,0.8779999999999999,0.974,0.922,0.858
