DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,SGD,0.452,2.0,0.43,4.0,0.462,1.0,0.392,7.0,0.442,3.0,0.42200000000000004,5.0,0.418,6.0,area,2.0,REC
dermatology,SGD,0.6900000000000001,7.0,0.74,6.0,0.8459999999999999,2.0,0.8039999999999999,3.0,0.7779999999999999,4.0,0.852,1.0,0.7619999999999999,5.0,area,2.0,REC
glass,SGD,0.29800000000000004,3.5,0.30200000000000005,2.0,0.13799999999999998,7.0,0.298,3.5,0.266,6.0,0.336,1.0,0.28,5.0,area,2.0,REC
new-thyroid,SGD,0.45,7.0,0.758,2.0,0.7859999999999999,1.0,0.716,5.0,0.7340000000000001,4.0,0.6940000000000001,6.0,0.746,3.0,area,2.0,REC
penbased,SGD,0.8240000000000001,6.0,0.852,2.0,0.852,2.0,0.85,4.0,0.852,2.0,0.8440000000000001,5.0,0.7879999999999999,7.0,area,2.0,REC
thyroid,SGD,0.9159999999999999,1.0,0.764,4.0,0.9059999999999999,2.0,0.804,3.0,0.6420000000000001,6.0,0.6779999999999999,5.0,0.6379999999999999,7.0,area,2.0,REC
wine,SGD,0.502,4.0,0.524,2.0,0.5740000000000001,1.0,0.506,3.0,0.4560000000000001,5.5,0.4560000000000001,5.5,0.4400000000000001,7.0,area,2.0,REC
