DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,LRG,0.638,7.0,0.7139999999999999,3.5,0.72,2.0,0.7139999999999999,3.5,0.708,5.5,0.708,5.5,0.7340000000000001,1.0,volume,2.5,SPE
dermatology,LRG,0.8300000000000001,7.0,0.988,1.0,0.986,2.0,0.98,5.0,0.982,4.0,0.9840000000000001,3.0,0.932,6.0,volume,2.5,SPE
glass,LRG,0.644,4.5,0.644,4.5,0.644,4.5,0.644,4.5,0.644,4.5,0.644,4.5,0.8079999999999999,1.0,volume,2.5,SPE
new-thyroid,LRG,0.3,7.0,0.688,1.5,0.6759999999999999,3.0,0.602,5.5,0.602,5.5,0.688,1.5,0.642,4.0,volume,2.5,SPE
penbased,LRG,0.982,6.5,0.9840000000000001,3.5,0.9840000000000001,3.5,0.9840000000000001,3.5,0.9840000000000001,3.5,0.986,1.0,0.982,6.5,volume,2.5,SPE
thyroid,LRG,0.07800000000000001,7.0,0.4320000000000001,1.0,0.142,6.0,0.396,2.5,0.396,2.5,0.384,4.0,0.28600000000000003,5.0,volume,2.5,SPE
wine,LRG,0.7659999999999999,7.0,0.782,4.5,0.782,4.5,0.782,4.5,0.784,2.0,0.782,4.5,0.8,1.0,volume,2.5,SPE
