DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,RF,0.618,7.0,0.63,3.0,0.626,6.0,0.632,2.0,0.628,4.5,0.628,4.5,0.642,1.0,aspect_ratio,7.0,GEO
dermatology,RF,0.964,5.5,0.9620000000000001,7.0,0.972,2.0,0.972,2.0,0.972,2.0,0.97,4.0,0.964,5.5,aspect_ratio,7.0,GEO
glass,RF,0.784,5.0,0.7959999999999999,2.0,0.8059999999999999,1.0,0.792,3.0,0.7779999999999999,6.0,0.7899999999999999,4.0,0.764,7.0,aspect_ratio,7.0,GEO
new-thyroid,RF,0.9559999999999998,3.5,0.9540000000000001,5.5,0.958,2.0,0.9540000000000001,5.5,0.96,1.0,0.956,3.5,0.9520000000000001,7.0,aspect_ratio,7.0,GEO
penbased,RF,0.982,1.0,0.98,3.5,0.98,3.5,0.98,3.5,0.98,3.5,0.978,6.5,0.978,6.5,aspect_ratio,7.0,GEO
thyroid,RF,0.8079999999999999,7.0,0.912,3.0,0.8619999999999999,5.0,0.8959999999999999,4.0,0.922,1.0,0.86,6.0,0.914,2.0,aspect_ratio,7.0,GEO
wine,RF,0.9620000000000001,4.5,0.9620000000000001,4.5,0.968,2.0,0.966,3.0,0.96,6.0,0.972,1.0,0.948,7.0,aspect_ratio,7.0,GEO
