DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,DTREE,0.47200000000000003,6.5,0.494,1.0,0.4900000000000001,2.0,0.47200000000000003,6.5,0.47600000000000003,4.5,0.488,3.0,0.47600000000000003,4.5,solid_angle,5.5,F1
dermatology,DTREE,0.902,2.0,0.8959999999999999,3.0,0.912,1.0,0.8859999999999999,5.0,0.8640000000000001,6.0,0.892,4.0,0.852,7.0,solid_angle,5.5,F1
glass,DTREE,0.64,4.0,0.6519999999999999,3.0,0.6739999999999999,2.0,0.706,1.0,0.628,5.0,0.6,6.5,0.6,6.5,solid_angle,5.5,F1
new-thyroid,DTREE,0.9559999999999998,2.0,0.9540000000000001,3.5,0.9540000000000001,3.5,0.958,1.0,0.8879999999999999,7.0,0.9280000000000002,5.0,0.9079999999999999,6.0,solid_angle,5.5,F1
penbased,DTREE,0.892,4.5,0.8859999999999999,7.0,0.902,1.0,0.9,2.0,0.892,4.5,0.8960000000000001,3.0,0.8880000000000001,6.0,solid_angle,5.5,F1
thyroid,DTREE,0.9540000000000001,6.0,0.964,3.0,0.966,2.0,0.968,1.0,0.9559999999999998,5.0,0.96,4.0,0.8480000000000001,7.0,solid_angle,5.5,F1
wine,DTREE,0.8979999999999999,4.0,0.892,6.0,0.898,4.0,0.91,2.0,0.898,4.0,0.9159999999999999,1.0,0.882,7.0,solid_angle,5.5,F1
